Title
Nano-vLLM: How a vLLM-style inference engine works
Defeating a 40-year-old copy protection dongle
My fast zero-allocation webserver using OxCaml
Termux
Hypergrowth isn’t always easy
MaliciousCorgi: AI Extensions send your code to China
Claude Code is suddenly everywhere inside Microsoft
My iPhone 16 Pro Max produces garbage output when running MLX LLMs
Apple's MacBook Pro DFU port documentation is wrong
Show HN: Apate API mocking/prototyping server and Rust unit test library
Show HN: Wikipedia as a doomscrollable social media feed
Ratchets in software development (2021)
Show HN: NanoClaw – “Clawdbot” in 500 lines of TS with Apple container isolation
4x faster network file sync with rclone (vs rsync) (2025)
Library of Juggling
Ian's Shoelace Site
Best Gas Masks
Adventure Game Studio: OSS software for creating adventure games
Apple I Advertisement (1976)
Actors: A Model of Concurrent Computation [pdf] (1985)
Contracts in Nix
EU launches government satcom program in sovereignty push
"Board Games in Ancient Fiction: Egypt, Iran, Greece"
Rev up the viral factories
Leaked Chats Expose the Daily Life of a Scam Compound's Enslaved Workforce
Microsoft is walking back Windows 11's AI overload
Building Your Own Efficient uint128 in C++
Efficient String Compression for Modern Database Systems
Two kinds of AI users are emerging
Treasures found on HS2 route stored in secret warehouse
